Date,Price,Open,High,Low,Vol.,Change %,,ID
"Dec 18, 2013",18.9,19.18,19.79,18.9,15.03,0.677,15.03M,1
"Dec 19, 2013",19.49,18.9,19.49,18.81,1.61,0.0312,1.61M,2
"Dec 20, 2013",19.68,19.65,19.77,19.4,737.58,0.0097,737.58K,3
"Dec 23, 2013",19.74,19.79,19.99,19.5,698.14,0.003,698.14K,4
"Dec 24, 2013",19.53,19.74,19.82,19.5,213.66,-0.0106,213.66K,5
"Dec 26, 2013",19.78,19.55,19.9,19.35,416.47,0.0128,416.47K,6
"Dec 27, 2013",20.14,19.93,20.59,19.53,758.23,0.0182,758.23K,7
"Dec 30, 2013",19.98,20.1,20.14,19.82,246.83,-0.0079,246.83K,8
"Dec 31, 2013",20.55,19.96,20.72,19.96,313.91,0.0285,313.91K,9
"Jan 02, 2014",20.18,20.62,20.94,19.96,425.81,-0.018,425.81K,10
"Jan 03, 2014",20.02,20.1,20.28,19.78,299.79,-0.0079,299.79K,11
"Jan 06, 2014",20.01,20.05,20.1,19.81,509.72,-0.0005,509.72K,12
"Jan 07, 2014",20.05,20.04,20.17,19.93,856.77,0.002,856.77K,13
"Jan 08, 2014",19.96,20.1,20.1,19.89,498.38,-0.0045,498.38K,14
"Jan 09, 2014",20.03,19.96,20.05,19.81,290.22,0.0035,290.22K,15
"Jan 10, 2014",20.04,20.05,20.15,19.99,660.08,0.0005,660.08K,16
"Jan 13, 2014",19.98,19.9,20.01,19.75,392.56,-0.003,392.56K,17
"Jan 14, 2014",20.12,19.86,20.34,19.75,215.82,0.007,215.82K,18
"Jan 15, 2014",19.99,20.18,20.3,19.81,311.8,-0.0065,311.80K,19
"Jan 16, 2014",20.3,19.92,20.49,19.9,279.34,0.0155,279.34K,20
"Jan 17, 2014",20.24,20.18,20.49,20.04,131.42,-0.003,131.42K,21
"Jan 21, 2014",20.85,20.4,21,20.32,620.25,0.0301,620.25K,22
"Jan 22, 2014",21.26,20.94,21.49,20.92,326.83,0.0197,326.83K,23
"Jan 23, 2014",21.27,21.27,21.27,20.5,154.25,0.0005,154.25K,24
"Jan 24, 2014",21.37,21.27,21.61,20.8,409.07,0.0047,409.07K,25
"Jan 27, 2014",21.35,21.26,21.47,21.02,497.25,-0.0009,497.25K,26
"Jan 28, 2014",21.91,21.97,21.97,21.1,332.62,0.0262,332.62K,27
"Jan 29, 2014",21.64,21.92,21.92,21.35,77.18,-0.0123,77.18K,28
"Jan 30, 2014",21.53,21.88,22,21.43,122.69,-0.0051,122.69K,29
"Jan 31, 2014",21.37,21.25,21.82,21.16,230.79,-0.0074,230.79K,30
"Feb 03, 2014",21.05,21.5,21.5,21.01,232.21,-0.015,232.21K,31
"Feb 04, 2014",21.02,21.05,21.17,20.62,311.48,-0.0014,311.48K,32
"Feb 05, 2014",21.04,20.84,21.13,20.3,362.04,0.001,362.04K,33
"Feb 06, 2014",21.16,20.99,21.16,20.71,211.65,0.0057,211.65K,34
"Feb 07, 2014",21.32,21.21,21.33,20.91,129.93,0.0076,129.93K,35
"Feb 10, 2014",21.37,21.25,21.37,21.07,118.29,0.0023,118.29K,36
"Feb 11, 2014",21.77,21.46,21.78,21.3,156.21,0.0187,156.21K,37
"Feb 12, 2014",22.04,21.71,22.09,21.46,147.94,0.0124,147.94K,38
"Feb 13, 2014",22.1,21.74,22.45,21.72,183.37,0.0027,183.37K,39
"Feb 14, 2014",22,22.18,22.18,21.32,172.63,-0.0045,172.63K,40
"Feb 18, 2014",21.99,22.1,22.1,21.8,183.78,-0.0005,183.78K,41
"Feb 19, 2014",21.93,21.92,22.25,21.76,210.86,-0.0027,210.86K,42
"Feb 20, 2014",21.95,21.8,22.06,21.63,179.77,0.0009,179.77K,43
"Feb 21, 2014",22.31,22,22.64,21.79,303.76,0.0164,303.76K,44
"Feb 24, 2014",22.39,22.4,22.5,21.9,245.39,0.0036,245.39K,45
"Feb 25, 2014",22.47,22.48,22.93,22.31,253.01,0.0036,253.01K,46
"Feb 26, 2014",22.52,22.75,22.88,21.67,567.5,0.0022,567.50K,47
"Feb 27, 2014",22.74,22.52,22.94,22.14,374.3,0.0098,374.30K,48
"Feb 28, 2014",22.89,22.74,22.94,22.35,306.19,0.0066,306.19K,49
"Mar 03, 2014",22.95,22.97,23.6,22.77,432.92,0.0026,432.92K,50
"Mar 04, 2014",23.98,23.08,24.46,23.08,1.16,0.0449,1.16M,51
"Mar 05, 2014",24.66,24.04,24.8,24.04,355.37,0.0284,355.37K,52
"Mar 06, 2014",25.22,24.78,25.29,24.59,351.26,0.0227,351.26K,53
"Mar 07, 2014",25.47,25.43,25.81,24.76,487.71,0.0099,487.71K,54
"Mar 10, 2014",24.81,25.3,26.4,24.74,398.49,-0.0259,398.49K,55
"Mar 11, 2014",23.98,24.94,26.68,23.98,1.23,-0.0335,1.23M,56
"Mar 12, 2014",23.29,23.99,24.58,23.02,508.14,-0.0288,508.14K,57
"Mar 13, 2014",23.87,23.34,24.56,23.34,827.6,0.0249,827.60K,58
"Mar 14, 2014",24.11,23.85,24.8,23.73,567.05,0.0101,567.05K,59
"Mar 17, 2014",25.06,24.17,25.43,24.17,869.01,0.0394,869.01K,60
"Mar 18, 2014",24.4,25.17,25.25,24.34,547.5,-0.0263,547.50K,61
"Mar 19, 2014",23.58,23.9,23.9,23.19,569.23,-0.0336,569.23K,62
"Mar 20, 2014",23.51,23.47,23.65,22.98,429.17,-0.003,429.17K,63
"Mar 21, 2014",23.06,23.28,23.69,22.82,1.65,-0.0191,1.65M,64
"Mar 24, 2014",23.18,23,23.23,22.3,385.53,0.0052,385.53K,65
"Mar 25, 2014",24.01,23.31,24.21,23.3,398.43,0.0358,398.43K,66
"Mar 26, 2014",23.86,24.07,24.07,23.7,238.36,-0.0062,238.36K,67
"Mar 27, 2014",23.42,23.77,24.07,23.26,284.97,-0.0184,284.97K,68
"Mar 28, 2014",23.9,23.42,23.99,23.38,283.6,0.0205,283.60K,69
"Mar 31, 2014",24.25,23.99,24.25,23.38,2.34,0.0146,2.34M,70
"Apr 01, 2014",24.72,24.2,24.72,23.87,374.6,0.0194,374.60K,71
"Apr 02, 2014",24.8,24.73,25.14,24.52,321.51,0.0032,321.51K,72
"Apr 03, 2014",23.48,24.86,25,23.43,374.74,-0.0532,374.74K,73
"Apr 04, 2014",23.02,23.6,23.7,22.59,322.85,-0.0196,322.85K,74
"Apr 07, 2014",23.02,23.01,23.16,22.54,238.58,0,238.58K,75
"Apr 08, 2014",23.97,23.04,24.18,22.81,522.03,0.0413,522.03K,76
"Apr 09, 2014",23.64,24.06,24.12,23.57,282.04,-0.0138,282.04K,77
"Apr 10, 2014",22.88,23.59,23.64,22.88,117.98,-0.0321,117.98K,78
