Date,Price,Open,High,Low,Vol.,Change %,,ID
"Jan 03, 2011",22.91,23.07,23.23,22.9,2.4,0.0013,2.40M,1
"Jan 04, 2011",22.5,22.97,22.98,22.47,2.77,-0.0179,2.77M,2
"Jan 05, 2011",21.89,22.49,22.65,21.88,6.06,-0.0271,6.06M,3
"Jan 06, 2011",20.63,21.29,21.32,20.55,11.34,-0.0576,11.34M,4
"Jan 07, 2011",20.77,20.62,20.96,20.18,5.79,0.0068,5.79M,5
"Jan 10, 2011",20.7,20.65,20.75,20.3,3.73,-0.0034,3.73M,6
"Jan 11, 2011",20.19,20.66,20.7,20.11,4.47,-0.0246,4.47M,7
"Jan 12, 2011",20.67,20.25,20.77,20.2,4.52,0.0238,4.52M,8
"Jan 13, 2011",20.6,20.63,21,20.57,3.64,-0.0034,3.64M,9
"Jan 14, 2011",20.37,20.59,20.63,20.32,4.21,-0.0112,4.21M,10
"Jan 18, 2011",20.37,20.42,20.58,20.12,2.93,0,2.93M,11
"Jan 19, 2011",20.46,20.32,20.52,20.12,3.84,0.0044,3.84M,12
"Jan 20, 2011",21.01,20.43,21.02,20.43,4.92,0.0269,4.92M,13
"Jan 21, 2011",20.9,21.18,21.21,20.8,4.3,-0.0052,4.30M,14
"Jan 24, 2011",21.09,20.84,21.09,20.48,2.85,0.0091,2.85M,15
"Jan 25, 2011",21.06,20.99,21.09,20.81,2.78,-0.0014,2.78M,16
"Jan 26, 2011",21.04,21.07,21.25,20.93,2.15,-0.0009,2.15M,17
"Jan 27, 2011",21.07,21.05,21.25,20.95,3.25,0.0014,3.25M,18
"Jan 28, 2011",20.98,21.07,21.18,20.67,3.35,-0.0043,3.35M,19
"Jan 31, 2011",21.07,21.09,21.18,20.83,2.14,0.0043,2.14M,20
"Feb 01, 2011",20.55,21.14,21.18,20.52,4.25,-0.0247,4.25M,21
"Feb 02, 2011",19.82,20.46,20.46,19.73,7.6,-0.0355,7.60M,22
"Feb 03, 2011",19.5,19.79,20.19,19.19,6.43,-0.0161,6.43M,23
"Feb 04, 2011",20.05,19.69,20.32,19.69,5.98,0.0282,5.98M,24
"Feb 07, 2011",20.14,20.14,20.27,20.05,3.62,0.0045,3.62M,25
"Feb 08, 2011",20.02,20.14,20.16,19.84,4.52,-0.006,4.52M,26
"Feb 09, 2011",19.7,20.04,20.12,19.63,3.77,-0.016,3.77M,27
"Feb 10, 2011",20.37,19.58,20.68,19.51,6.08,0.034,6.08M,28
"Feb 11, 2011",20.28,20.27,20.41,20.07,4.17,-0.0044,4.17M,29
"Feb 14, 2011",19.87,19.67,20,19.55,4.77,-0.0202,4.77M,30
"Feb 15, 2011",20.04,19.78,20.15,19.78,4.45,0.0086,4.45M,31
"Feb 16, 2011",20.27,20.13,20.31,19.98,4.32,0.0115,4.32M,32
"Feb 17, 2011",20.11,20.18,20.58,20.06,3.15,-0.0079,3.15M,33
"Feb 18, 2011",19.95,20.17,20.36,19.86,3.64,-0.008,3.64M,34
"Feb 22, 2011",19.68,19.99,20.03,19.56,5.42,-0.0135,5.42M,35
"Feb 23, 2011",19.68,19.7,19.9,19.54,4.05,0,4.05M,36
"Feb 24, 2011",19.51,19.67,19.72,19.45,3.73,-0.0086,3.73M,37
"Feb 25, 2011",19.85,19.62,19.88,19.49,2.47,0.0174,2.47M,38
"Feb 28, 2011",19.95,20,20.01,19.76,2.24,0.005,2.24M,39
